top - 22:07:21 up  4:28,  1 user,  load average: 1,49, 1,38, 1,69
Tareas: 447 total,   1 ejecutar,  445 hibernar,    0 detener,    1 zombie
%Cpu(s):  0,7 us,  2,6 sy,  2,2 ni, 94,0 id,  0,0 wa,  0,0 hi,  0,4 si,  0,0 st
MiB Mem :  64208,6 total,   2651,6 libre,   4995,4 usado,  56561,6 búfer/caché
MiB Intercambio:  20479,5 total,  17860,0 libre,   2619,5 usado.  54766,8 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
    138 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/25-AMD-Vi
    139 root      20   0       0      0      0 S   0,0   0,0   0:45.41 kswapd0
    140 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptfs-kthread
    142 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kthro
    143 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/30-aerdrv
    144 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/31-aerdrv
    157 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-acpi_
    158 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-mld
    159 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ipv6_
    169 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kstrp
    176 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-crypt
    188 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-charg
    209 root       0 -20       0      0      0 I   0,0   0,0   0:00.22 kworker/0:1H-kblockd
    213 root       0 -20       0      0      0 I   0,0   0,0   0:00.18 kworker/9:1H-kblockd
    214 root       0 -20       0      0      0 I   0,0   0,0   0:00.23 kworker/5:1H-kblockd
    227 root       0 -20       0      0      0 I   0,0   0,0   0:04.37 kworker/2:1H-kblockd
    228 root       0 -20       0      0      0 I   0,0   0,0   0:00.29 kworker/1:1H-kblockd
    229 root       0 -20       0      0      0 I   0,0   0,0   0:00.26 kworker/3:1H-kblockd
    230 root       0 -20       0      0      0 I   0,0   0,0   0:00.25 kworker/15:1H-kblockd
    231 root       0 -20       0      0      0 I   0,0   0,0   0:00.27 kworker/4:1H-kblockd
    232 root       0 -20       0      0      0 I   0,0   0,0   0:00.25 kworker/11:1H-kblockd
    233 root       0 -20       0      0      0 I   0,0   0,0   0:00.22 kworker/12:1H-kblockd
    234 root       0 -20       0      0      0 I   0,0   0,0   0:00.25 kworker/14:1H-kblockd
    235 root       0 -20       0      0      0 I   0,0   0,0   0:00.21 kworker/8:1H-kblockd
    236 root       0 -20       0      0      0 I   0,0   0,0   0:00.27 kworker/13:1H-kblockd
    239 root       0 -20       0      0      0 I   0,0   0,0   0:00.24 kworker/10:1H-kblockd
    248 root       0 -20       0      0      0 I   0,0   0,0   0:00.32 kworker/6:1H-kblockd
    254 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_0
    255 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-scsi_
    256 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_1
    257 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-scsi_
    258 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_2
    259 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-scsi_
    260 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_3
    261 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-scsi_
    262 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_4
    263 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-scsi_
    264 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_5
    265 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-scsi_
    270 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-nvme-
    271 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-nvme-
    272 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-nvme-
    273 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-nvme-
    303 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-amdgp
    304 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-ttm
    305 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-amdgp
    306 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-amdgp
    307 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-amdgp
    308 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-dm_vb
    309 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-crtc0
    310 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-crtc1
    311 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-crtc2
    312 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-crtc3
    313 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-crtc4
    314 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card1-crtc5
    345 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-raid5
    758 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kdmfl
    763 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kcryp
    764 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/R-kcryp
    765 root      20   0       0      0      0 S   0,0   0,0   0:01.38 dmcrypt_write/252:0
